phase,batch_name,batch_index,sample_index,location,event,start_idx,summary_path,mapping_source
phase25,test_batch_0011,11,1,location2,r300y_p0.8_d3h,0,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0011/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0012,12,0,location2,r300y_p0.8_d3h,6,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0012/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0012,12,1,location2,r300y_p0.8_d3h,12,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0012/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0013,13,0,location3,r100y_p0.5_d3h,0,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0013/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0013,13,1,location3,r100y_p0.5_d3h,6,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0013/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0014,14,0,location3,r100y_p0.5_d3h,12,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0014/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0014,14,1,location3,r200y_p0.5_d3h,0,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0014/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0015,15,0,location3,r200y_p0.5_d3h,6,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0015/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0015,15,1,location3,r200y_p0.5_d3h,12,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0015/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0016,16,0,location3,r300y_p0.6_d3h,0,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0016/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0016,16,1,location3,r300y_p0.6_d3h,6,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0016/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0017,17,0,location3,r300y_p0.6_d3h,12,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0017/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0017,17,1,location3,r300y_p0.8_d3h,0,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0017/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0018,18,0,location3,r300y_p0.8_d3h,6,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0018/summary.json,adjacent_summary_json.metadata.location
phase25,test_batch_0018,18,1,location3,r300y_p0.8_d3h,12,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0018/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0000,0,0,location1,r100y_p0.5_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0000/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0000,0,1,location1,r100y_p0.5_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0000/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0001,1,0,location1,r100y_p0.5_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0001/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0001,1,1,location1,r200y_p0.5_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0001/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0002,2,0,location1,r200y_p0.5_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0002/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0002,2,1,location1,r200y_p0.5_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0002/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0003,3,0,location1,r300y_p0.6_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0003/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0003,3,1,location1,r300y_p0.6_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0003/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0004,4,0,location1,r300y_p0.6_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0004/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0004,4,1,location1,r300y_p0.8_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0004/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0005,5,0,location1,r300y_p0.8_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0005/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0005,5,1,location1,r300y_p0.8_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0005/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0006,6,0,location2,r100y_p0.5_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0006/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0006,6,1,location2,r100y_p0.5_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0006/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0007,7,0,location2,r100y_p0.5_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0007/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0007,7,1,location2,r200y_p0.5_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0007/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0008,8,0,location2,r200y_p0.5_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0008/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0008,8,1,location2,r200y_p0.5_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0008/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0009,9,0,location2,r300y_p0.6_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0009/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0009,9,1,location2,r300y_p0.6_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0009/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0010,10,0,location2,r300y_p0.6_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0010/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0010,10,1,location2,r300y_p0.6_d3h,18,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0010/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0011,11,0,location2,r300y_p0.6_d3h,24,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0011/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0011,11,1,location2,r300y_p0.8_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0011/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0012,12,0,location2,r300y_p0.8_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0012/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0012,12,1,location2,r300y_p0.8_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0012/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0013,13,0,location3,r100y_p0.5_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0013/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0013,13,1,location3,r100y_p0.5_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0013/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0014,14,0,location3,r100y_p0.5_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0014/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0014,14,1,location3,r200y_p0.5_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0014/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0015,15,0,location3,r200y_p0.5_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0015/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0015,15,1,location3,r200y_p0.5_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0015/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0016,16,0,location3,r300y_p0.6_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0016/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0016,16,1,location3,r300y_p0.6_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0016/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0017,17,0,location3,r300y_p0.6_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0017/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0017,17,1,location3,r300y_p0.8_d3h,0,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0017/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0018,18,0,location3,r300y_p0.8_d3h,6,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0018/summary.json,adjacent_summary_json.metadata.location
phase27,test_batch_0018,18,1,location3,r300y_p0.8_d3h,12,runs/phase27_volume_response_seed42_40e/evaluation_test/test_batch_0018/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0000,0,0,location1,r100y_p0.5_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0000/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0000,0,1,location1,r100y_p0.5_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0000/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0001,1,0,location1,r100y_p0.5_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0001/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0001,1,1,location1,r200y_p0.5_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0001/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0002,2,0,location1,r200y_p0.5_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0002/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0002,2,1,location1,r200y_p0.5_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0002/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0003,3,0,location1,r300y_p0.6_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0003/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0003,3,1,location1,r300y_p0.6_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0003/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0004,4,0,location1,r300y_p0.6_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0004/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0004,4,1,location1,r300y_p0.8_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0004/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0005,5,0,location1,r300y_p0.8_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0005/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0005,5,1,location1,r300y_p0.8_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0005/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0006,6,0,location2,r100y_p0.5_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0006/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0006,6,1,location2,r100y_p0.5_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0006/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0007,7,0,location2,r100y_p0.5_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0007/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0007,7,1,location2,r200y_p0.5_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0007/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0008,8,0,location2,r200y_p0.5_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0008/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0008,8,1,location2,r200y_p0.5_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0008/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0009,9,0,location2,r300y_p0.6_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0009/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0009,9,1,location2,r300y_p0.6_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0009/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0010,10,0,location2,r300y_p0.6_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0010/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0010,10,1,location2,r300y_p0.6_d3h,18,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0010/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0011,11,0,location2,r300y_p0.6_d3h,24,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0011/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0011,11,1,location2,r300y_p0.8_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0011/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0012,12,0,location2,r300y_p0.8_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0012/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0012,12,1,location2,r300y_p0.8_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0012/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0013,13,0,location3,r100y_p0.5_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0013/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0013,13,1,location3,r100y_p0.5_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0013/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0014,14,0,location3,r100y_p0.5_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0014/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0014,14,1,location3,r200y_p0.5_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0014/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0015,15,0,location3,r200y_p0.5_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0015/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0015,15,1,location3,r200y_p0.5_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0015/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0016,16,0,location3,r300y_p0.6_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0016/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0016,16,1,location3,r300y_p0.6_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0016/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0017,17,0,location3,r300y_p0.6_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0017/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0017,17,1,location3,r300y_p0.8_d3h,0,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0017/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0018,18,0,location3,r300y_p0.8_d3h,6,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0018/summary.json,adjacent_summary_json.metadata.location
phase29,test_batch_0018,18,1,location3,r300y_p0.8_d3h,12,runs/phase29_tolerance_band_volume_seed42_40e/evaluation_test/test_batch_0018/summary.json,adjacent_summary_json.metadata.location
