sample_id,split,location,scenario,target_size,component,method,input_shape,output_shape,input_dtype,output_dtype,success,notes
04_train_location2_G1135_intensity_117,train,location2,G1135_intensity_117,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
04_train_location2_G1135_intensity_117,train,location2,G1135_intensity_117,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
04_train_location2_G1135_intensity_117,train,location2,G1135_intensity_117,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
05_train_location3_G1135_intensity_117,train,location3,G1135_intensity_117,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
05_train_location3_G1135_intensity_117,train,location3,G1135_intensity_117,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
05_train_location3_G1135_intensity_117,train,location3,G1135_intensity_117,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
05_train_location3_G1135_intensity_117,train,location3,G1135_intensity_117,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
06_train_location1_r100y_p0.1_d3h,train,location1,r100y_p0.1_d3h,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
06_train_location1_r100y_p0.1_d3h,train,location1,r100y_p0.1_d3h,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
06_train_location1_r100y_p0.1_d3h,train,location1,r100y_p0.1_d3h,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
06_train_location1_r100y_p0.1_d3h,train,location1,r100y_p0.1_d3h,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
07_train_location1_G1135_intensity_156,train,location1,G1135_intensity_156,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
07_train_location1_G1135_intensity_156,train,location1,G1135_intensity_156,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
07_train_location1_G1135_intensity_156,train,location1,G1135_intensity_156,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
07_train_location1_G1135_intensity_156,train,location1,G1135_intensity_156,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
08_train_location1_G1135_intensity_163,train,location1,G1135_intensity_163,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
08_train_location1_G1135_intensity_163,train,location1,G1135_intensity_163,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
08_train_location1_G1135_intensity_163,train,location1,G1135_intensity_163,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
08_train_location1_G1135_intensity_163,train,location1,G1135_intensity_163,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
09_train_location2_r300y_p0.2_d3h,train,location2,r300y_p0.2_d3h,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
09_train_location2_r300y_p0.2_d3h,train,location2,r300y_p0.2_d3h,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
09_train_location2_r300y_p0.2_d3h,train,location2,r300y_p0.2_d3h,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
09_train_location2_r300y_p0.2_d3h,train,location2,r300y_p0.2_d3h,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
10_train_location1_r100y_p0.2_d3h,train,location1,r100y_p0.2_d3h,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
10_train_location1_r100y_p0.2_d3h,train,location1,r100y_p0.2_d3h,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
10_train_location1_r100y_p0.2_d3h,train,location1,r100y_p0.2_d3h,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
10_train_location1_r100y_p0.2_d3h,train,location1,r100y_p0.2_d3h,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
11_train_location1_G1135_intensity_179,train,location1,G1135_intensity_179,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
11_train_location1_G1135_intensity_179,train,location1,G1135_intensity_179,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
11_train_location1_G1135_intensity_179,train,location1,G1135_intensity_179,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
11_train_location1_G1135_intensity_179,train,location1,G1135_intensity_179,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
