path,file_type,field_or_key,shape_or_columns,category_mapping,spatial_alignment_evidence,temporal_alignment_evidence,notes,source,source_scope
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location2\manhole.npy,npy,manhole.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location3\absolute_DEM.npy,npy,absolute_DEM.npy,"[128, 128]",DEM/static_elevation_alignment,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location3\impervious.npy,npy,impervious.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location3\manhole.npy,npy,manhole.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r100y_p0.6_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r100y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r100y_p0.7_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r100y_p0.7_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r200y_p0.3_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r200y_p0.3_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r300y_p0.4_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r300y_p0.4_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r300y_p0.9_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r300y_p0.9_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r500y_p0.4_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r500y_p0.4_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r500y_p0.6_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r500y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r500y_p0.9_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location1\r500y_p0.9_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r100y_p0.6_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r100y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r100y_p0.7_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r100y_p0.7_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r200y_p0.3_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r200y_p0.3_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r300y_p0.4_d3h\flood.npy,npy,flood.npy,"[48, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=48,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r300y_p0.4_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r300y_p0.9_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r300y_p0.9_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r500y_p0.4_d3h\flood.npy,npy,flood.npy,"[48, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=48,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r500y_p0.4_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r500y_p0.6_d3h\flood.npy,npy,flood.npy,"[48, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=48,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r500y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r500y_p0.9_d3h\flood.npy,npy,flood.npy,"[48, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=48,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location2\r500y_p0.9_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r100y_p0.6_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r100y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r100y_p0.7_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r100y_p0.7_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r200y_p0.3_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r200y_p0.3_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r300y_p0.4_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r300y_p0.4_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r300y_p0.9_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r300y_p0.9_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r500y_p0.4_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r500y_p0.4_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r500y_p0.6_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r500y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r500y_p0.9_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\flood\location3\r500y_p0.9_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location1\absolute_DEM.npy,npy,absolute_DEM.npy,"[128, 128]",DEM/static_elevation_alignment,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location1\impervious.npy,npy,impervious.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location1\manhole.npy,npy,manhole.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location2\absolute_DEM.npy,npy,absolute_DEM.npy,"[128, 128]",DEM/static_elevation_alignment,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location2\impervious.npy,npy,impervious.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location2\manhole.npy,npy,manhole.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location3\absolute_DEM.npy,npy,absolute_DEM.npy,"[128, 128]",DEM/static_elevation_alignment,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location3\impervious.npy,npy,impervious.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location3\manhole.npy,npy,manhole.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_by_run.csv,csv,mean_peak_depth_target,"phase, seed, run_name, run_dir, step_count, mean_target_volume_proxy, mean_prediction_volume_proxy, mean_volume_bias, mean_relative_volume_bias, mean_absolute_relative_volume_bias, mean_target_wet_area, mean_prediction_wet_area, mean_target_dry_area, mean_wet_area_bias, mean_wet_area_contraction, mean_false_dry_rate, mean_false_wet_rate, mean_false_dry_volume_loss, mean_false_wet_volume_excess, mean_peak_depth_target, mean_peak_depth_prediction, mean_peak_depth_underprediction, mean_rmse, mean_mae, sum_target_volume_proxy, sum_prediction_volume_proxy, sum_volume_bias, sum_target_wet_area, sum_prediction_wet_area, sum_target_dry_area, sum_false_dry_count, sum_false_wet_count, sum_false_dry_volume_loss, sum_false_wet_volume_excess, aggregate_relative_volume_bias, absolute_aggregate_relative_volume_bias, aggregate_false_dry_rate, aggregate_false_wet_rate, aggregate_wet_area_contraction",hydrodynamic_state_variables,,,Matched terms: depth,,prior_analysis
analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_by_run.csv,csv,mean_peak_depth_prediction,"phase, seed, run_name, run_dir, step_count, mean_target_volume_proxy, mean_prediction_volume_proxy, mean_volume_bias, mean_relative_volume_bias, mean_absolute_relative_volume_bias, mean_target_wet_area, mean_prediction_wet_area, mean_target_dry_area, mean_wet_area_bias, mean_wet_area_contraction, mean_false_dry_rate, mean_false_wet_rate, mean_false_dry_volume_loss, mean_false_wet_volume_excess, mean_peak_depth_target, mean_peak_depth_prediction, mean_peak_depth_underprediction, mean_rmse, mean_mae, sum_target_volume_proxy, sum_prediction_volume_proxy, sum_volume_bias, sum_target_wet_area, sum_prediction_wet_area, sum_target_dry_area, sum_false_dry_count, sum_false_wet_count, sum_false_dry_volume_loss, sum_false_wet_volume_excess, aggregate_relative_volume_bias, absolute_aggregate_relative_volume_bias, aggregate_false_dry_rate, aggregate_false_wet_rate, aggregate_wet_area_contraction",hydrodynamic_state_variables,,,Matched terms: depth,,prior_analysis
analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_by_run.csv,csv,mean_peak_depth_underprediction,"phase, seed, run_name, run_dir, step_count, mean_target_volume_proxy, mean_prediction_volume_proxy, mean_volume_bias, mean_relative_volume_bias, mean_absolute_relative_volume_bias, mean_target_wet_area, mean_prediction_wet_area, mean_target_dry_area, mean_wet_area_bias, mean_wet_area_contraction, mean_false_dry_rate, mean_false_wet_rate, mean_false_dry_volume_loss, mean_false_wet_volume_excess, mean_peak_depth_target, mean_peak_depth_prediction, mean_peak_depth_underprediction, mean_rmse, mean_mae, sum_target_volume_proxy, sum_prediction_volume_proxy, sum_volume_bias, sum_target_wet_area, sum_prediction_wet_area, sum_target_dry_area, sum_false_dry_count, sum_false_wet_count, sum_false_dry_volume_loss, sum_false_wet_volume_excess, aggregate_relative_volume_bias, absolute_aggregate_relative_volume_bias, aggregate_false_dry_rate, aggregate_false_wet_rate, aggregate_wet_area_contraction",hydrodynamic_state_variables,,,Matched terms: depth,,prior_analysis
analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_by_run.csv,csv,aggregate_relative_volume_bias,"phase, seed, run_name, run_dir, step_count, mean_target_volume_proxy, mean_prediction_volume_proxy, mean_volume_bias, mean_relative_volume_bias, mean_absolute_relative_volume_bias, mean_target_wet_area, mean_prediction_wet_area, mean_target_dry_area, mean_wet_area_bias, mean_wet_area_contraction, mean_false_dry_rate, mean_false_wet_rate, mean_false_dry_volume_loss, mean_false_wet_volume_excess, mean_peak_depth_target, mean_peak_depth_prediction, mean_peak_depth_underprediction, mean_rmse, mean_mae, sum_target_volume_proxy, sum_prediction_volume_proxy, sum_volume_bias, sum_target_wet_area, sum_prediction_wet_area, sum_target_dry_area, sum_false_dry_count, sum_false_wet_count, sum_false_dry_volume_loss, sum_false_wet_volume_excess, aggregate_relative_volume_bias, absolute_aggregate_relative_volume_bias, aggregate_false_dry_rate, aggregate_false_wet_rate, aggregate_wet_area_contraction",pump_gate_operations,,,Matched terms: gate,,prior_analysis
analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_by_run.csv,csv,absolute_aggregate_relative_volume_bias,"phase, seed, run_name, run_dir, step_count, mean_target_volume_proxy, mean_prediction_volume_proxy, mean_volume_bias, mean_relative_volume_bias, mean_absolute_relative_volume_bias, mean_target_wet_area, mean_prediction_wet_area, mean_target_dry_area, mean_wet_area_bias, mean_wet_area_contraction, mean_false_dry_rate, mean_false_wet_rate, mean_false_dry_volume_loss, mean_false_wet_volume_excess, mean_peak_depth_target, mean_peak_depth_prediction, mean_peak_depth_underprediction, mean_rmse, mean_mae, sum_target_volume_proxy, sum_prediction_volume_proxy, sum_volume_bias, sum_target_wet_area, sum_prediction_wet_area, sum_target_dry_area, sum_false_dry_count, sum_false_wet_count, sum_false_dry_volume_loss, sum_false_wet_volume_excess, aggregate_relative_volume_bias, absolute_aggregate_relative_volume_bias, aggregate_false_dry_rate, aggregate_false_wet_rate, aggregate_wet_area_contraction",pump_gate_operations,,,Matched terms: gate,,prior_analysis
