relative_path,array_name,shape,dtype,split,group,location,scenario,role_guess,notes
train/flood/location1/G1135_intensity_117/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location1,G1135_intensity_117,flood_depth,
train/flood/location1/G1135_intensity_117/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location1,G1135_intensity_117,rainfall,
train/flood/location1/G1135_intensity_155/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location1,G1135_intensity_155,flood_depth,
train/flood/location1/G1135_intensity_155/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location1,G1135_intensity_155,rainfall,
train/flood/location1/G1135_intensity_156/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location1,G1135_intensity_156,flood_depth,
train/flood/location1/G1135_intensity_156/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location1,G1135_intensity_156,rainfall,
train/flood/location2/G1135_intensity_117/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location2,G1135_intensity_117,flood_depth,
train/flood/location2/G1135_intensity_117/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location2,G1135_intensity_117,rainfall,
train/flood/location2/G1135_intensity_155/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location2,G1135_intensity_155,flood_depth,
train/flood/location2/G1135_intensity_155/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location2,G1135_intensity_155,rainfall,
train/flood/location2/G1135_intensity_156/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location2,G1135_intensity_156,flood_depth,
train/flood/location2/G1135_intensity_156/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location2,G1135_intensity_156,rainfall,
train/flood/location3/G1135_intensity_117/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location3,G1135_intensity_117,flood_depth,
train/flood/location3/G1135_intensity_117/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location3,G1135_intensity_117,rainfall,
train/flood/location3/G1135_intensity_155/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location3,G1135_intensity_155,flood_depth,
train/flood/location3/G1135_intensity_155/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location3,G1135_intensity_155,rainfall,
train/flood/location3/G1135_intensity_156/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,train,flood,location3,G1135_intensity_156,flood_depth,
train/flood/location3/G1135_intensity_156/rainfall.npy,rainfall.npy,"(360,)",float64,train,flood,location3,G1135_intensity_156,rainfall,
test/flood/location1/G1135_intensity_103/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location1,G1135_intensity_103,flood_depth,
test/flood/location1/G1135_intensity_103/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location1,G1135_intensity_103,rainfall,
test/flood/location1/G1135_intensity_161/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location1,G1135_intensity_161,flood_depth,
test/flood/location1/G1135_intensity_161/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location1,G1135_intensity_161,rainfall,
test/flood/location1/G1166_intensity_246/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location1,G1166_intensity_246,flood_depth,
test/flood/location1/G1166_intensity_246/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location1,G1166_intensity_246,rainfall,
test/flood/location2/G1135_intensity_103/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location2,G1135_intensity_103,flood_depth,
test/flood/location2/G1135_intensity_103/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location2,G1135_intensity_103,rainfall,
test/flood/location2/G1135_intensity_161/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location2,G1135_intensity_161,flood_depth,
test/flood/location2/G1135_intensity_161/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location2,G1135_intensity_161,rainfall,
test/flood/location2/G1166_intensity_246/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location2,G1166_intensity_246,flood_depth,
test/flood/location2/G1166_intensity_246/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location2,G1166_intensity_246,rainfall,
test/flood/location3/G1135_intensity_103/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location3,G1135_intensity_103,flood_depth,
test/flood/location3/G1135_intensity_103/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location3,G1135_intensity_103,rainfall,
test/flood/location3/G1135_intensity_161/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location3,G1135_intensity_161,flood_depth,
test/flood/location3/G1135_intensity_161/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location3,G1135_intensity_161,rainfall,
test/flood/location3/G1166_intensity_246/flood.npy,flood.npy,"(360, 1, 500, 500)",float64,test,flood,location3,G1166_intensity_246,flood_depth,
test/flood/location3/G1166_intensity_246/rainfall.npy,rainfall.npy,"(360,)",float64,test,flood,location3,G1166_intensity_246,rainfall,
